date,max_temp,min_temp
2026-07-18,26.0,15.3
2026-07-19,27.1,15.6
2026-07-20,27.3,16.0
2026-07-21,29.0,15.5
2026-07-22,27.0,17.3
2026-07-23,30.4,18.2
2026-07-24,30.7,15.9
